,O,V
121,"brownsville, texas, 2000",139722
122,"lebanon, virginia, 2000",3273
123,"renton, washington, 2000",50052
124,"minerva, ohio, 2000",3934
125,"howland, maine, 2000",1362
126,"malin, oregon, 2000",638
127,"lincoln, nebraska, 2000",225581
128,"wilmington, delaware, 2000",72664
129,"jessup, pennsylvania, 2000",4718
130,"detroit, michigan, 2006",918849
131,"barnstead, new hampshire, 2000",3886
132,"sparta, tennessee, 2000",4599
133,"big stone gap, virginia, 2000",4856
134,"meridian, mississippi, 2000",39968
135,"new berlin, wisconsin, 2000",38220
136,"hermosa beach, california, 2000",18566
137,"des moines, iowa, 2000",198682
138,"portland, oregon, 2000",529121
139,"sacramento, california, 2000",407018
140,"tallahassee, florida, 2000",150624
141,"concord, new hampshire, 2000",40687
142,"merced, california, 2000",63893
143,"milwaukee, wisconsin, 2006",602782
144,"casper, wyoming, 2000",49644
145,"pleasanton, california, 2000",63654
146,"antioch, california, 2000",90532
147,"oceanside, california, 2000",161029
148,"modesto, california, 2000",188856
149,"roswell, georgia, 2000",79334
150,"dekalb, illinois, 2000",39018
151,"columbia, illinois, 2000",7922
152,"jasper, indiana, 2000",12100
153,"lafayette, indiana, 2000",56397
154,"lawrence, kansas, 2000",80098
155,"cumberland, maryland, 2000",21518
156,"three oaks, michigan, 2000",1829
157,"manchester, new hampshire, 2000",107006
158,"pelham, new hampshire, 2000",10914
159,"hampton falls, new hampshire, 2000",1880
160,"milton, new hampshire, 2000",3910
161,"kiryas joel, new york, 2000",13138
162,"wilmington, north carolina, 2000",75838
163,"steubenville, ohio, 2000",19015
164,"reedsport, oregon, 2000",4378
165,"culver, oregon, 2000",802
166,"shaniko, oregon, 2000",26
167,"forest grove, oregon, 2000",17708
168,"kutztown, pennsylvania, 2000",5067
169,"orangeburg, south carolina, 2000",12765
170,"knoxville, tennessee, 2000",173890
171,"sweeny, texas, 2000",3624
172,"zillah, washington, 2000",2198
173,"branson, missouri, 2000",6050
174,"wilsonville, oregon, 2000",13991
175,"grand prairie, texas, 2000",127427
176,"eau claire, wisconsin, 2000",61704
177,"huntington, new york, 2000",195289
178,"plattsburgh, new york, 2000",18816
179,"watertown, new york, 2000",26705
180,"newburgh, new york, 2000",28259
181,"mount carroll, illinois, 2000",1832
182,"polo, illinois, 2000",2477
183,"fort branch, indiana, 2000",2320
184,"iowa city, iowa, 2000",62220
185,"fort dodge, iowa, 2000",25136
186,"irving, texas, 2000",191615
187,"sheboygan falls, wisconsin, 2000",6772
188,"norwood, kentucky, 2000",395
189,"brownsburg, indiana, 2000",14520
190,"john day, oregon, 2000",1821
191,"calera, alabama, 2000",3158
192,"converse, indiana, 2000",1137
193,"gallup, new mexico, 2000",20209
194,"clairton, pennsylvania, 2000",8491
195,"arkadelphia, arkansas, 2000",10912
196,"onslow, iowa, 2000",223
197,"wakefield, kansas, 2000",838
198,"denton, kansas, 2000",186
199,"sterling, kansas, 2000",2642
200,"saline, michigan, 2000",8034
201,"rosman, north carolina, 2000",490
202,"sallisaw, oklahoma, 2000",7989
203,"perryton, texas, 2000",7774
204,"milan, michigan, 2000",4775
205,"pearland, texas, 2000",37640
206,"claremont, california, 2000",33998
207,"la mirada, california, 2000",46783
208,"lancaster, california, 2000",118718
209,"winter park, colorado, 2000",662
210,"bargersville, indiana, 2000",2120
211,"darmstadt, indiana, 2000",1313
212,"bettendorf, iowa, 2000",31275
213,"salisbury, maryland, 2000",23743
214,"tupelo, mississippi, 2000",34211
215,"salisbury, new hampshire, 2000",1137
216,"seabrook, new hampshire, 2000",7934
217,"eagle point, oregon, 2000",4797
218,"north, south carolina, 2000",813
219,"winslow, maine, 2000",7743
220,"gorham, new hampshire, 2000",2895
221,"santa monica, california, 2000",84084
222,"anaheim, california, 2000",328014
223,"omaha, nebraska, 2000",390007
224,"cherry hill, new jersey, 2000",69965
225,"piedmont, west virginia, 2000",1014
226,"vallejo, california, 2000",116760
227,"ellsworth, wisconsin, 2000",2909
228,"rogers, arkansas, 2000",38829
229,"fairfax, california, 2000",7319
230,"greenfield, california, 2000",12583
231,"murrieta, california, 2000",44282
232,"yarmouth, massachusetts, 2000",24807
233,"rowe, massachusetts, 2000",351
234,"ashby, massachusetts, 2000",2845
235,"granby, massachusetts, 2000",6132
236,"stockholm, wisconsin, 2000",97
237,"rupert, idaho, 2000",5645
238,"jefferson, iowa, 2000",4626
239,"maurice, iowa, 2000",254
240,"orange city, iowa, 2000",5582
241,"mound city, kansas, 2000",821
242,"st. george, kansas, 2000",434
243,"fairbury, nebraska, 2000",4262
244,"holgate, ohio, 2000",1194
245,"pampa, texas, 2000",17887
246,"bountiful, utah, 2000",41301
247,"mauston, wisconsin, 2000",3740
248,"wells, wisconsin, 2000",529
249,"washburn, wisconsin, 2000",2280
250,"egg harbor, wisconsin, 2000",250
251,"forestville, wisconsin, 2000",429
252,"pepin, wisconsin, 2000",878
253,"ettrick, wisconsin, 2000",521
254,"boone, north carolina, 2000",13472
255,"heyburn, idaho, 2000",2899
256,"minidoka, idaho, 2000",129
257,"paul, idaho, 2000",998
258,"vincent, iowa, 2000",158
259,"treece, kansas, 2000",149
260,"bern, kansas, 2000",204
261,"walker, michigan, 2000",21842
262,"blissfield, michigan, 2000",3223
263,"squaw lake, minnesota, 2000",99
264,"willmar, minnesota, 2000",18351
265,"madison, mississippi, 2000",14692
266,"iberia, missouri, 2000",605
267,"flemington, missouri, 2000",124
268,"new square, new york, 2000",4624
269,"smithfield, north carolina, 2000",11510
270,"roxboro, north carolina, 2000",8696
271,"north wilkesboro, north carolina, 2000",4116
272,"ronda, north carolina, 2000",460
273,"ray, north dakota, 2000",534
274,"hoot owl, oklahoma, 2000",0
275,"idabel, oklahoma, 2000",6952
276,"smith village, oklahoma, 2000",40
277,"six mile, south carolina, 2000",553
278,"jacksonville, texas, 2000",13868
279,"rusk, texas, 2000",5085
280,"paducah, texas, 2000",1498
281,"mission, texas, 2000",45408
282,"nacogdoches, texas, 2000",29914
283,"arp, texas, 2000",901
284,"canton, texas, 2000",3292
285,"troutdale, virginia, 2000",1230
286,"moses lake, washington, 2000",14953
287,"little chute, wisconsin, 2000",10476
288,"rhinebeck, new york, 2000",3077
289,"cullman, alabama, 2000",13995
290,"reedley, california, 2000",20756
291,"chattanooga, tennessee, 2006",168293
292,"berkeley, new jersey, 2000",39991
293,"berkeley heights, new jersey, 2000",13407
294,"cornelius, oregon, 2000",9652
295,"sherwood, oregon, 2000",11791
296,"dayton, oregon, 2000",2119
297,"billings, montana, 2000",89847
298,"monterey, california, 2000",29674
299,"poospatuck reservation, new york, 2000",271
300,"davenport, iowa, 2000",98359
301,"urbana, illinois, 2000",36395
302,"forest acres, south carolina, 2000",10558
303,"ankeny, iowa, 2000",27117
304,"southaven, mississippi, 2000",28977
305,"ontario, california, 2000",158007
306,"dedham, massachusetts, 2000",23464
307,"austintown, ohio, 2000",38001
