O,V
3588,1
4063,1
3606,0
3606,11
3718,3
4372,0
3797,1
3565,1
4405,2
3364,1
3530,1
3499,1
4427,2
3568,0
4443,1
3488,1
3358,0
4108,4
3922,1
3529,1
3711,1
4206,1
3401,1
3401,0
4204,2
4258,2
4297,1
3897,2
3597,3
3981,1
3837,1
4274,2
4184,2
3527,1
3749,0
3632,1
4461,1
3535,1
4027,1
4403,2
4094,3
4260,2
3641,1
3914,1
3789,1
4881,0
5466,4
5518,1
5446,1
5508,0
4734,2
4797,1
4958,1
4698,1
5504,3
5465,2
5323,1
5232,0
4863,1
5211,3
4983,1
5474,0
5299,5
4566,1
4588,2
4940,1
4658,2
5174,1
4754,1
5143,1
4531,1
5122,1
5247,1
5167,1
4543,1
4669,1
5443,1
4589,1
4888,1
5182,2
4839,1
5179,4
5611,1
5530,1
5059,1
4791,0
4594,2
5383,0
4801,0
4910,1
5222,1
4708,3
5198,1
4728,0
4840,3
5534,1
4690,1
4927,1
4682,1
5575,2
4622,0
4478,1
4650,1
4618,1
5593,1
4685,3
5608,1
4608,1
4472,1
5252,4
5056,1
4649,0
4833,5
5361,2
4517,1
4517,2
5418,2
5461,1
4717,7
5118,1
4968,1
5436,1
5336,1
4646,2
4873,0
4753,3
5627,1
4654,1
5162,1
5572,1
5237,1
5420,1
4760,1
5050,1
4918,3
6388,0
6391,1
6490,3
6356,1
6473,0
6115,1
6235,1
6537,0
6045,1
6466,3
6107,1
5946,1
6349,0
5906,2
6587,0
6404,1
6066,1
5817,0
5934,1
5852,2
5973,1
6143,1
5783,1
5755,2
5731,1
5975,2
5830,1
5772,0
5995,1
6345,1
5855,1
6396,1
5854,1
6304,1
5851,2
6661,1
6509,1
6706,1
6215,0
5869,11
6229,1
6240,1
6438,2
5925,1
6061,1
5882,0
6108,1
6306,1
6515,1
6032,3
6461,2
6012,3
6580,1
5912,6
5661,1
5959,1
5907,1
6617,2
6021,3
5891,0
5647,1
5982,1
6702,1
5958,1
6295,1
6194,2
5737,2
6192,1
6305,2
6384,1
6671,2
6084,2
5726,1
6560,2
6335,1
6140,1
5950,2
6369,0
6142,1
6709,18
5969,1
5815,1
6575,1
5954,1
6309,1
6154,1
6688,1
6443,1
7146,0
7769,1
7826,2
7748,1
7816,0
6989,1
7057,1
7227,1
6955,1
7812,1
7768,1
7618,1
7519,1
7128,1
7500,1
7254,1
7777,0
7593,0
6823,0
6892,1
6843,1
7207,2
6914,1
7462,0
7010,1
7428,1
6785,1
7406,1
7536,1
7454,1
6797,0
6925,1
7744,1
6844,1
7153,1
7471,1
7101,0
7468,2
7922,1
7838,1
7342,1
7050,1
6851,0
7684,0
7061,1
7177,1
7511,1
6964,1
7487,1
6984,2
7102,2
7842,1
6948,1
7193,0
6939,3
7882,2
6879,0
6729,1
6907,1
6875,1
7901,3
6942,1
7919,1
6864,1
6723,0
7540,3
7339,1
6906,1
7095,1
7658,2
6768,1
6768,2
7655,1
7720,1
7238,3
7633,1
6910,1
7526,0
7722,1
7018,1
7329,0
7184,2
7764,1
7310,3
6974,2
7402,1
7736,1
6903,1
7138,1
7009,1
7940,1
7449,1
7879,1
8376,0
8994,1
9050,2
8973,1
9040,1
8218,1
8286,1
8458,1
8184,1
9036,2
8993,1
8846,1
8747,0
8357,21
8728,2
8485,1
9002,1
8822,1
8052,2
8120,0
8071,2
8438,1
8142,1
8690,1
8657,2
8015,0
8635,3
8764,1
8682,0
8027,2
8153,1
8969,1
8072,1
8383,1
8699,1
8329,1
8696,2
9147,1
9062,1
8571,1
8279,1
8079,1
8909,0
8290,1
8407,1
8739,1
8193,1
8715,4
8213,1
8213,2
8330,1
9066,1
8176,0
8424,4
8167,2
9107,3
8107,0
7960,2
8135,1
8103,1
9126,1
8170,2
9144,1
8092,1
7954,0
8769,4
8568,2
8134,1
8324,1
8883,2
7999,8
8880,1
8946,2
8469,1
8860,1
8138,0
8754,0
8948,2
8247,2
8559,1
8415,0
8989,1
8540,3
8203,2
8631,1
8961,1
8131,2
8367,0
8238,1
9165,1
8677,1
9104,0
9525,1
10026,1
10069,2
10009,1
10063,0
9390,1
9450,1
9592,1
9361,19
10061,1
10025,1
9901,1
9827,2
9510,1
9814,1
9614,1
10031,2
9880,1
9249,1
9309,0
9265,1
9572,1
9325,1
9783,1
9412,1
9758,1
9223,1
9740,2
9839,1
9779,1
9231,1
9335,1
10006,1
9266,1
9532,1
9791,1
9490,1
9788,1
10155,1
10077,1
9685,2
9444,1
9271,2
9821,1
9368,2
9491,1
10081,0
9556,1
9350,1
10114,3
9296,0
9182,1
9319,1
9294,1
10137,2
9354,0
10152,3
9282,3
9175,3
9682,0
9318,0
9484,4
9214,2
9928,0
9982,0
10021,1
9736,1
9602,1
9999,1
9913,1
9316,10
9519,1
9411,2
10171,1
9321,0
9774,1
10111,0
9984,1
9419,1
9675,0
10591,1
11163,1
11220,2
11143,1
11212,0
10438,1
10504,1
10666,1
10407,0
11208,2
11162,1
11022,1
10936,2
10574,1
10920,1
10692,1
11172,1
10999,1
10279,1
10344,0
10295,1
10647,1
10367,1
10886,1
10460,1
10855,1
10242,1
10830,2
10951,1
10879,0
10257,2
10378,0
11140,1
10296,4
10895,2
10549,1
10892,2
11317,1
11231,1
10770,0
10498,1
10300,1
11083,0
10508,0
10616,2
10928,1
10415,3
10910,1
10433,0
10550,1
11235,1
10632,0
10392,0
11271,1
10328,0
10190,1
10356,1
10325,1
11294,5
10395,2
11313,1
10313,1
10184,0
10955,3
10767,1
10355,1
10543,2
11060,2
10226,3
10226,4
11057,1
11119,1
11159,1
10740,2
10424,2
10826,1
10676,1
11134,1
11035,1
10353,2
10584,1
10459,2
11331,1
10361,1
10874,1
11267,0
10942,1
11121,1
10469,1
10758,0
10623,2
11759,1
12366,1
12421,2
12347,1
12412,0
11670,1
11837,2
11570,1
12408,1
12365,1
12222,1
12125,2
11739,0
12105,0
11862,2
12374,2
12197,1
11439,1
11507,0
11459,1
11819,1
11529,1
12068,1
11624,1
12034,0
11402,0
12011,1
12142,1
12060,1
11414,1
11540,1
12343,2
11460,2
11766,2
12077,1
11713,1
12074,1
12516,2
12432,1
11948,1
11663,1
11466,0
12284,0
11674,0
11789,1
12116,1
11578,1
12092,3
11598,0
11714,2
12436,1
11562,1
11806,0
11553,1
12477,0
11493,3
11348,1
11522,1
11489,1
12495,3
11556,0
12513,1
11479,1
11342,0
12147,4
11945,0
11521,0
11707,1
12259,0
11387,1
11387,3
12256,1
12319,1
12361,1
11588,2
12007,1
11848,2
12335,1
12235,1
11518,1
11750,0
11623,1
12533,2
11525,1
12055,1
12474,1
12132,1
12321,1
11631,1
11935,1
11797,3
12954,1
13501,1
13549,2
13482,1
13540,0
12805,1
12871,1
13024,1
12774,1
13536,1
13500,1
13365,1
13280,0
12936,1
13262,1
13048,1
13506,1
13342,1
12642,0
12711,1
12661,2
13007,1
12732,2
13231,1
12824,1
13200,1
12603,1
13181,1
13295,0
12615,2
12742,1
13478,1
12662,2
12960,1
12915,1
13237,2
13640,1
13561,2
13124,1
12863,1
12668,2
13417,1
12875,1
12978,1
13272,1
12782,1
13252,0
12801,0
12916,2
13565,1
12766,1
12993,2
12756,2
13605,0
12697,1
12551,4
12726,0
12693,1
13621,2
12759,1
12682,1
12545,0
13298,4
13121,1
12725,1
12908,2
13395,0
12590,1
12590,2
13452,1
13497,1
13099,2
12791,2
13177,2
13033,1
13470,1
13374,1
12722,1
12946,1
12823,1
13654,1
12729,0
13221,1
13602,2
13285,1
13455,1
12831,1
13115,1
12984,1
14074,1
14635,2
14690,3
14615,1
14679,0
13923,1
13991,1
14145,1
13891,2
14675,2
14634,1
14494,1
14408,1
14056,1
14391,2
14167,1
14640,1
14468,1
13761,3
13830,1
13778,1
14128,1
13850,1
14360,1
13943,1
14328,1
13725,1
14307,1
14424,1
13736,0
13860,1
14611,1
14080,1
14368,1
14034,1
14366,2
14782,1
14702,1
14248,1
13983,1
13786,2
14552,1
13995,0
14100,1
14400,2
13900,1
14381,7
13919,0
13919,2
14035,1
14706,1
13883,1
14114,2
13874,2
14746,5
13817,0
13675,1
13844,1
13813,1
14762,2
13877,1
13801,1
13668,1
14427,4
14244,1
13843,1
14029,1
14528,2
13712,1
13712,2
14525,1
14587,1
14631,1
13909,1
14303,2
14153,2
14603,1
14507,1
13840,1
14066,0
13942,1
14796,1
13847,0
14347,1
14742,0
14413,0
14589,1
13950,1
14234,1
14106,1
14832,1
14855,1
14873,2
14899,1
14863,1
14824,1
14945,1
14830,1
14833,5
14934,2
14854,5
14911,2
14874,1
14905,5
14948,1
14942,1
14850,2
15375,1
15975,2
16035,2
15955,1
16028,1
15286,1
15462,1
15177,1
16023,0
15973,1
15833,3
15743,0
15358,1
15727,1
15482,5
15986,1
15811,1
15051,1
15119,1
15073,1
15441,1
15140,1
15684,1
15238,1
15655,1
15012,1
15622,1
15758,2
15678,1
15022,0
15152,1
15951,1
15074,2
15380,1
15695,1
15328,1
15692,2
16152,1
16048,1
15559,1
15278,1
15082,4
15890,0
15290,1
15408,1
15736,1
15185,2
15715,0
15210,2
15210,3
15330,1
16052,2
15170,1
15427,1
15162,2
16106,2
15111,0
14964,2
15132,1
15106,1
16126,2
15165,0
16148,1
15093,1
14958,0
15762,4
15557,1
15130,1
15321,1
15872,1
14997,1
15869,1
15924,2
15970,1
15527,1
15618,0
15472,1
15945,1
15847,1
15127,1
15368,0
15237,2
16167,1
15137,1
15671,1
16101,1
15748,0
15926,1
15246,1
15547,2
15415,1
16568,2
17111,2
17167,2
17092,0
17159,0
16419,1
16481,1
16645,1
16386,1
17154,0
17108,1
16975,1
16896,1
16555,2
16884,2
16665,3
17120,4
16954,8
16263,2
16331,0
16284,1
16626,2
16349,3
16845,1
16440,1
16819,2
16230,1
16793,1
16909,1
16839,1
16237,1
16361,1
17090,1
16285,1
16573,1
16856,4
16525,1
16853,0
17269,0
17178,1
16734,1
16476,1
16290,1
17030,0
16484,1
16596,2
16891,1
16393,2
16872,2
16415,0
16415,1
16527,2
17183,0
16609,0
16372,2
17227,1
16324,1
16185,1
16343,1
16322,1
17245,1
16375,0
17266,1
16303,3
16179,0
16732,1
16341,1
16517,1
17011,1
16217,4
16217,6
17008,1
17063,2
17105,1
16789,1
16655,1
17084,1
16988,1
16339,2
16562,1
16438,2
17285,1
16346,1
16835,1
17225,1
16902,1
17066,1
16723,1
17704,1
18293,2
18350,2
18277,1
18343,1
17551,7
17617,1
17788,1
17513,1
18336,3
18159,1
18075,1
17690,1
18057,2
17811,3
18303,1
17351,1
18137,2
17389,4
17457,2
17414,2
17769,1
17477,2
18016,1
17984,0
17353,1
17954,1
18089,1
18010,1
17361,2
17488,2
18274,2
17415,1
17709,1
18027,28
17661,1
18024,2
18455,0
18361,1
17890,1
17610,0
17420,2
18215,1
17622,0
17736,1
18067,1
17522,3
18047,2
17546,0
17546,1
17663,2
18365,2
17755,1
17499,2
18412,1
17449,1
17306,1
17469,1
17445,1
18431,2
17502,2
18451,1
17432,1
17301,1
18092,3
17888,0
17467,1
17654,2
18199,1
17339,1
17339,4
18196,1
18250,0
18288,1
17855,1
17950,1
17799,1
18268,1
18173,1
17465,1
17698,0
17574,1
18473,1
17474,1
18004,1
18410,1
18080,0
18252,3
17581,1
17879,1
17742,1
18893,1
19482,3
19542,1
19466,1
19534,0
18735,1
18805,1
18977,0
18698,2
19529,2
19481,1
19348,1
19260,2
19243,1
19493,1
19326,1
18574,1
18638,0
18593,2
18958,8
18659,1
19201,1
18756,1
19168,1
18536,1
19136,3
19275,1
19195,1
18547,1
18672,1
19462,2
18594,1
18898,1
19213,1
18848,1
19210,2
19652,1
19554,1
19073,1
18797,1
18601,1
19406,0
18809,1
18926,1
19252,1
18706,1
19232,5
18729,1
18850,2
19558,1
18692,1
18945,1
18682,1
19608,1
18632,0
18492,1
18651,1
18627,0
19628,2
18685,2
19648,1
18613,1
18487,1
19279,4
19071,0
18649,0
18841,2
19388,3
18523,2
18523,1
19385,1
19438,1
19478,1
19042,1
19132,1
18986,1
19457,1
19362,1
18646,1
18886,1
18755,1
19669,1
18656,1
19188,1
19604,1
19265,0
19440,3
18763,2
19061,1
18933,1
20085,1
20680,2
20741,3
20662,1
20732,2
19927,1
19995,1
20172,1
19890,1
20727,2
20679,1
20538,1
20449,1
20068,1
20432,1
20192,3
20691,1
20516,1
19767,1
19831,1
19785,1
20152,1
19852,1
20390,1
19949,1
20361,1
19731,2
20326,1
20464,1
19740,1
19863,1
20658,0
19786,1
20090,1
20402,1
20039,2
20399,1
20846,1
20752,1
20267,1
19987,0
19794,4
20598,0
19999,1
20120,1
20441,1
19898,2
20420,5
19922,0
20041,1
20756,1
19883,1
20139,3
19873,2
20804,4
19824,1
19687,1
19844,1
19819,1
20823,1
19876,2
20842,1
19806,1
19682,0
20468,4
20264,0
19842,1
20031,3
20577,2
19718,1
20574,2
20633,1
20676,1
20235,0
20322,1
20181,1
20653,1
20552,1
19839,2
20078,1
19948,1
20862,2
19849,1
20378,1
20801,1
20454,1
20636,1
19958,1
20255,1
20126,1
21281,1
21892,1
21954,2
21874,1
21946,0
21121,1
21188,1
21369,1
21086,3
21941,2
21890,0
21750,1
21656,0
21262,1
21639,1
21389,4
21904,0
21728,0
20959,1
21026,1
20980,2
21348,2
21047,1
21596,1
21143,1
21568,1
20925,1
21531,2
21671,0
21590,1
20933,1
21058,1
21870,1
21286,2
21608,1
21231,0
21605,2
22067,1
21966,2
21180,0
20990,0
21192,1
21314,1
21648,2
21094,2
21627,1
21116,0
21233,1
21970,1
21079,1
21334,0
21069,2
22020,6
21019,0
20880,1
21039,1
21015,1
22042,0
21072,3
22063,1
21001,0
20875,1
21675,4
21467,1
21037,1
21223,1
21790,0
20911,2
21787,1
21845,3
21887,1
21436,1
21527,1
21378,1
21864,1
21765,1
21034,3
21273,1
21142,2
22083,1
21044,2
21584,1
22017,1
21661,0
21847,1
21151,1
21457,2
21321,1
22450,0
22195,1
22929,3
22499,1
22975,2
22969,0
22253,1
22312,1
22373,2
22691,1
22333,1
22668,1
22643,2
22754,0
22684,2
22513,1
22284,1
22153,1
22964,0
22261,2
22813,1
22926,2
22909,1
22438,0
22196,2
22728,1
22529,1
22936,1
22793,1
22178,1
22454,0
22702,1
22413,1
22699,2
23056,1
22985,1
22237,0
22584,1
22366,0
22201,1
22860,0
22475,2
22735,1
22291,1
22717,0
22415,1
22989,1
22487,2
22271,2
23022,1
22230,2
22100,1
22247,1
22228,1
22274,0
23052,2
22212,2
22094,1
22582,0
22245,0
22405,2
22843,0
22135,1
22840,1
22885,1
22923,1
22640,0
22521,1
22905,1
22244,1
22445,1
22331,1
23071,1
22250,1
22680,1
23021,1
22747,1
22888,1
22574,1
23449,1
23190,1
23951,1
23503,1
23997,2
23935,1
23991,0
23247,1
23311,1
23370,1
23714,1
23332,1
23688,1
23658,1
23784,1
23708,1
23519,1
23280,1
23144,0
23985,3
23257,1
23845,1
23948,1
23770,1
23932,0
23437,1
23191,1
23752,1
23538,5
23958,0
23830,1
23168,1
23453,0
23725,3
23409,1
23722,2
24087,1
24007,1
23227,1
23603,1
23364,0
23196,2
23884,1
23373,2
23475,2
23761,1
23286,1
23743,1
24011,1
23491,0
23268,1
24050,1
23221,1
23089,1
23239,1
23219,1
24066,1
23271,1
24083,2
23206,1
23084,2
23787,3
23601,1
23237,1
23401,2
23872,3
23121,1
23870,2
23914,4
23945,1
23571,0
23656,0
23531,2
23928,1
23855,1
23236,1
23444,1
23331,1
24103,0
23245,1
23704,1
24048,2
23775,0
23915,3
23338,1
23592,1
23481,1
24516,1
25126,1
25189,2
25108,1
25181,0
24358,1
24425,1
24605,1
24322,1
25176,1
25124,1
24990,1
24897,0
24498,1
24878,1
24626,1
25138,1
24967,3
24197,1
24263,2
24218,1
24583,1
24283,1
24836,1
24381,2
24806,1
24167,1
24770,1
24912,0
24827,1
24174,0
24293,1
25104,1
24219,1
24521,1
24847,2
24468,1
24844,2
25297,1
25201,0
24707,2
24416,1
24227,1
25044,0
24429,1
24550,2
24890,1
24330,1
24866,2
24353,1
24470,1
25205,2
24315,0
24568,1
24304,1
25257,1
24254,1
24119,1
24276,1
24250,2
25276,2
24307,1
25293,2
24114,1
24916,3
24705,2
24274,0
24458,2
25028,2
24154,1
24154,2
25078,2
25121,1
24675,1
24767,1
24614,1
25097,1
25006,2
24271,2
24508,1
24380,1
24280,1
24821,1
25254,1
24902,1
25081,1
24389,1
24695,4
24557,1
25735,0
26338,1
26398,2
26319,1
26391,0
25576,2
25644,1
25822,1
25538,1
26386,3
26336,1
26202,1
26113,1
25717,1
26093,1
25844,4
26349,1
26180,0
25409,2
25477,2
25430,2
25800,1
25497,2
26051,0
25599,1
26020,1
25375,0
25985,1
26128,0
25383,2
25508,1
26315,1
25431,1
25740,1
26062,1
25686,1
26059,3
26510,1
26410,2
25925,1
25635,0
25439,2
26256,0
25648,1
25768,1
26105,2
25546,1
26082,1
25571,1
25688,1
26414,1
25531,4
25786,2
25519,2
26469,2
25469,4
25327,1
25490,1
25464,1
26487,2
25522,2
26506,1
25449,1
25322,1
26132,4
25923,10
25488,0
25677,1
26240,3
25361,1
25361,2
26237,1
26291,2
26333,1
25893,1
25982,1
25833,1
26310,1
26217,1
25485,2
25727,1
25598,1
26524,2
25494,1
26038,1
26466,0
26118,1
26294,1
25607,1
25914,1
25774,1
26950,1
27555,1
27616,2
27535,1
27608,0
26792,1
26861,1
27036,1
26755,1
27603,2
27553,1
27420,0
27330,1
26933,1
27310,1
27059,1
27566,1
27397,1
26625,2
26694,0
27014,2
26716,1
27268,0
26816,1
27236,1
26590,1
27202,1
27345,1
27260,1
26599,2
26727,2
27531,1
26647,1
26955,1
27279,1
26903,1
27276,2
27729,1
27628,1
27141,2
26852,0
26655,1
27474,1
26865,1
26982,1
27322,2
26763,3
27299,1
26787,1
26905,1
27633,1
26749,0
27000,2
26738,2
27687,1
26686,2
26542,1
26707,0
26681,1
27706,1
26741,0
27725,1
26666,1
26537,1
27349,4
27139,2
26705,1
26894,1
27458,2
26576,1
26576,2
27455,1
27508,1
27550,1
27109,0
27199,1
27047,1
27526,1
27435,1
26702,2
26943,0
26815,3
27742,1
26712,1
27254,1
27684,0
27335,0
27510,1
26824,1
27129,1
26988,1
28166,1
28781,1
28841,2
28761,1
28834,0
28007,2
28076,1
28253,1
27970,2
28830,1
28643,1
28552,0
28148,0
28531,1
28275,3
28792,1
28622,1
27842,1
27908,1
27863,1
28232,1
27929,1
28489,1
28030,2
28457,1
27809,1
28422,1
28568,0
28481,1
27817,0
27940,1
28757,1
27864,1
28171,1
28500,1
28117,2
28497,2
28953,1
28359,1
28067,0
27872,1
28698,1
28080,0
28198,1
28544,1
27978,1
28521,4
28002,0
28856,1
27962,1
28217,2
27951,1
28910,3
27900,0
27761,1
27896,1
28930,3
27954,2
28949,1
27881,1
27756,1
28572,3
28357,1
27919,1
28108,2
28682,2
27795,1
27795,2
28679,2
28732,1
28776,1
28326,1
28419,2
28264,2
28751,1
28658,1
27916,1
28158,1
28029,1
28966,2
27926,1
28475,1
28907,2
28557,1
28735,1
28038,1
28347,2
28205,1
29376,1
29978,2
30038,2
30031,0
29220,5
29287,0
29468,1
29186,1
30027,2
29976,2
29842,2
29359,1
29737,2
29488,1
29989,1
29820,1
29063,1
29130,1
29084,2
29445,1
29695,2
29242,2
29665,1
29031,1
29628,1
29770,1
29687,1
29039,0
29158,2
29955,2
29085,1
29705,1
29329,2
29702,1
30146,1
30050,1
29279,0
29093,2
29896,0
29291,1
29411,1
29750,1
29193,2
29726,11
29215,1
29215,0
29331,5
30055,2
29180,1
29430,1
29169,1
30107,10
29122,0
28985,4
29118,1
30125,3
29172,2
30143,1
29103,1
28980,1
29774,4
29564,1
29141,0
29320,1
29880,2
29017,1
29877,3
29931,1
29973,1
29533,0
29625,1
29479,1
29949,1
29855,1
29138,2
29369,1
29241,1
30159,1
29148,1
29681,1
30104,1
29760,1
29933,1
29250,1
29554,3
29418,1
30527,1
30272,1
31025,2
30579,2
31072,2
31066,0
30332,1
30391,2
30453,1
30785,1
30415,1
30758,1
30222,2
30733,2
30849,1
30777,1
30594,1
30366,1
30227,1
31060,0
30341,0
30910,0
31022,1
30834,0
31006,1
30516,1
30273,1
30822,2
30610,1
31032,1
30888,0
30250,2
30532,1
30795,1
30491,1
30792,1
31160,1
31082,1
30315,1
30676,1
30448,0
30278,1
30953,0
30554,1
30829,1
30371,1
30811,1
30493,1
31086,1
30566,1
30351,3
31125,1
30307,2
30177,10
30326,1
30305,1
30354,1
31156,1
30289,1
30171,0
30674,1
30324,0
30484,1
30937,0
30210,7
30210,8
30934,2
30982,2
31019,1
30730,2
30602,1
31001,1
30323,2
30522,1
30413,1
31174,1
30329,2
30772,1
31123,1
30841,0
30985,1
30665,1
31579,1
32138,1
32195,2
32122,1
32188,1
31432,2
31494,3
31658,1
31397,1
32136,1
32013,1
31927,1
31566,1
31908,2
31677,3
32147,1
31990,2
31274,1
31340,1
31296,1
31359,1
31872,1
31453,1
31843,0
31245,0
31810,1
31940,2
31865,2
31252,1
31371,1
32119,1
31297,1
31584,3
31883,1
31537,2
31880,1
32293,2
32206,1
31748,4
31487,1
31302,1
32067,0
31498,1
31608,1
31918,1
31404,1
31901,3
31427,0
31427,3
31539,1
32210,2
31626,1
31382,0
32258,1
31331,3
31197,1
31351,1
31327,1
32275,2
31385,2
32291,1
31313,2
31191,0
31944,4
31746,2
31349,1
31528,3
32051,2
31230,2
31230,3
32049,1
32098,1
32133,1
31716,1
31807,1
31668,1
32113,1
32025,1
31348,1
31574,0
31452,1
32310,1
31356,1
31860,1
32256,0
31933,0
32099,1
31460,3
31737,1
31616,1
32741,1
33355,2
33418,2
33335,1
33411,0
32650,3
32543,1
33407,2
33353,1
33217,1
33124,2
32723,1
33104,2
32850,1
33367,3
33194,6
32412,2
32480,2
32436,1
32807,1
33062,1
32603,1
33030,1
32377,0
32994,1
33140,1
33053,1
32385,1
32512,2
33331,2
32437,1
32746,0
33070,2
33530,1
33430,1
32640,0
32445,1
33273,1
32654,1
32773,1
33115,1
32550,1
33094,1
32574,0
32574,1
32694,2
33434,0
32535,1
32792,1
32523,3
33488,3
32330,1
32493,1
32468,2
33508,2
32526,1
33526,1
32454,4
32325,2
33144,4
32929,2
32491,0
32683,1
33256,2
32363,1
33253,1
33305,1
33350,1
32900,0
32991,1
32839,3
33325,1
33231,3
32488,1
32733,1
32602,1
33543,1
32498,1
33047,1
33485,1
33129,1
33308,1
32611,2
32920,1
32780,1
33939,1
34493,2
34543,1
34477,1
34534,0
33789,2
33858,1
34018,1
33758,1
34531,0
34492,1
34365,0
34284,1
33919,1
34263,2
34043,2
34501,2
34343,1
33640,3
33704,2
33658,1
34000,2
33722,1
34223,1
33811,1
34192,1
33607,1
34168,1
34302,0
33619,1
33733,2
34475,2
33659,1
33945,1
34233,27
33893,1
34231,0
34634,1
34552,2
34119,1
33847,1
33664,0
34414,0
33861,1
33972,1
34271,2
33766,1
34248,1
33787,0
33894,2
34555,1
33987,1
33743,2
34599,1
33692,2
33564,1
33712,1
33688,1
34613,3
33746,1
34630,1
33676,9
33559,1
34305,3
34115,0
33711,0
33887,2
34397,2
33595,2
34394,1
34450,1
34489,1
34092,0
33775,0
34030,0
33810,1
34647,2
34210,1
34291,1
34453,1
33820,1
34106,0
33979,0
35075,2
35677,2
35733,1
35656,2
35723,3
34926,2
34988,1
35156,1
34888,1
35780,1
35719,1
35676,3
35534,2
35438,2
35058,1
35418,3
35181,1
35685,4
34720,1
35509,1
34757,6
34827,2
34779,1
35136,2
34849,2
35380,1
34946,3
35351,2
34722,3
35327,3
35454,2
35374,1
34736,2
34859,1
35653,2
34780,1
35081,2
35389,2
35033,2
35386,2
35825,1
35746,3
35261,1
34982,1
34786,0
35593,0
34992,0
35107,0
35429,0
34899,0
35404,0
34920,0
35034,0
35750,0
34882,0
35122,0
34873,0
35785,0
34814,1
34666,0
34841,0
34810,0
35804,0
34876,0
35822,0
34800,0
34660,0
35457,0
35258,0
34840,20
35027,0
35570,1
34706,1
35568,5
35628,0
35165,0
35547,0
34845,0
35443,0
35630,0
34954,0
35251,0
35114,6
35672,0
35232,0
34909,0
35323,0
35646,0
34837,0
35066,0
34945,0
35840,0
35369,0
35783,0
36274,2
36878,3
36931,1
36858,1
36922,2
36123,1
36189,1
36356,2
36085,2
36979,2
36918,2
36877,4
36732,1
36638,1
36255,1
36618,2
36382,2
36886,3
35913,3
36709,1
35951,2
36022,2
35973,1
36336,2
36044,3
36580,3
36145,4
36549,1
35914,2
36527,4
36654,2
36573,1
35927,3
36054,2
36855,2
35974,2
36280,1
36588,2
36230,1
36585,2
37023,1
36944,5
36462,1
36183,2
35980,0
36795,0
36193,0
36305,0
36629,0
36096,0
36604,0
36117,0
36231,0
36948,0
