,F,R,S,V
241144,7.0,acquaatpeckslip,7.0,1.0
215389,7.0,adouralainducasse,0.0,1.0
221279,7.0,adouralainducasse,2.0,1.0
234095,7.0,adouralainducasse,11.0,1.0
239573,7.0,adouralainducasse,6.0,1.0
215390,7.0,adrianapizzeria,0.0,1.0
227395,7.0,adrianapizzeria,4.0,1.0
215391,7.0,adriaticitalianrestaurant,0.0,1.0
227397,7.0,adriaticitalianrestaurant,4.0,1.0
215392,7.0,adriennespizzabar,0.0,1.0
221281,7.0,adriennespizzabar,2.0,1.0
223854,7.0,adriennespizzabar,3.0,1.0
234096,7.0,adriennespizzabar,11.0,1.0
235786,7.0,adriennespizzabar,5.0,1.0
241146,7.0,adriennespizzabar,7.0,1.0
242527,7.0,adriennespizzabar,1.0,1.0
215393,7.0,afghankebabhouse,0.0,1.0
223857,7.0,afghankebabhouse,3.0,1.0
241148,7.0,afghankebabhouse,7.0,1.0
242528,7.0,afghankebabhouse,1.0,1.0
215394,7.0,afghankebabhouseii,0.0,1.0
221282,7.0,afghankebabhouseii,2.0,1.0
215395,7.0,africakine,0.0,1.0
241149,7.0,africakine,7.0,1.0
215396,7.0,africarestaurant,0.0,1.0
227407,7.0,africarestaurant,4.0,1.0
215397,7.0,againstthegrain,0.0,1.0
241150,7.0,againstthegrain,7.0,1.0
215398,7.0,agave,0.0,1.0
221284,7.0,agave,2.0,1.0
223859,7.0,agave,3.0,1.0
233143,7.0,agave,9.0,1.0
234099,7.0,agave,11.0,1.0
234976,7.0,agave,10.0,1.0
235790,7.0,agave,5.0,1.0
238557,7.0,agave,8.0,1.0
239575,7.0,agave,6.0,1.0
241151,7.0,agave,7.0,1.0
242533,7.0,agave,1.0,1.0
215400,7.0,agozar,0.0,1.0
221286,7.0,agozar,2.0,1.0
223860,7.0,agozar,3.0,1.0
233145,7.0,agozar,9.0,1.0
234101,7.0,agozar,11.0,1.0
234978,7.0,agozar,10.0,1.0
235792,7.0,agozar,5.0,1.0
239576,7.0,agozar,6.0,1.0
241152,7.0,agozar,7.0,1.0
215403,7.0,ahchihuahuas,0.0,1.0
221287,7.0,ahchihuahuas,2.0,1.0
215404,7.0,ajmaxwellssteakhouse,0.0,1.0
227424,7.0,ajmaxwellssteakhouse,4.0,1.0
233137,7.0,ajmaxwellssteakhouse,9.0,1.0
234087,7.0,ajmaxwellssteakhouse,11.0,1.0
234979,7.0,ajmaxwellssteakhouse,10.0,1.0
238559,7.0,ajmaxwellssteakhouse,8.0,1.0
239577,7.0,ajmaxwellssteakhouse,6.0,1.0
241153,7.0,ajmaxwellssteakhouse,7.0,1.0
242537,7.0,ajmaxwellssteakhouse,1.0,1.0
215406,7.0,aja,0.0,1.0
227425,7.0,aja,4.0,1.0
233147,7.0,aja,9.0,1.0
234103,7.0,aja,11.0,1.0
234980,7.0,aja,10.0,1.0
235794,7.0,aja,5.0,1.0
239578,7.0,aja,6.0,1.0
241154,7.0,aja,7.0,1.0
242538,7.0,aja,1.0,1.0
215407,7.0,ajanta,0.0,1.0
223864,7.0,ajanta,3.0,1.0
215408,7.0,ajisushi,0.0,1.0
221290,7.0,ajisushi,2.0,1.0
241156,7.0,ajisushi,7.0,1.0
215410,7.0,akailounge,0.0,1.0
235798,7.0,akailounge,5.0,1.0
215411,7.0,akane,0.0,1.0
221292,7.0,akane,2.0,1.0
215412,7.0,akdeniz,0.0,1.0
223865,7.0,akdeniz,3.0,1.0
235799,7.0,akdeniz,5.0,1.0
238560,7.0,akdeniz,8.0,1.0
239579,7.0,akdeniz,6.0,1.0
241157,7.0,akdeniz,7.0,1.0
242546,7.0,akdeniz,1.0,1.0
215413,7.0,aki,0.0,1.0
221294,7.0,aki,2.0,1.0
235800,7.0,aki,5.0,1.0
238561,7.0,aki,8.0,1.0
242547,7.0,aki,1.0,1.0
215415,7.0,akisushi,0.0,1.0
221295,7.0,akisushi,2.0,1.0
227432,7.0,akisushi,4.0,1.0
234105,7.0,akisushi,11.0,1.0
241160,7.0,akisushi,7.0,1.0
242548,7.0,akisushi,1.0,1.0
215417,7.0,akisushiwest,0.0,1.0
234106,7.0,akisushiwest,11.0,1.0
242549,7.0,akisushiwest,1.0,1.0
215418,7.0,akinasushi,0.0,1.0
241161,7.0,akinasushi,7.0,1.0
215421,7.0,aldente,0.0,1.0
223868,7.0,aldente,3.0,1.0
227439,7.0,aldente,4.0,1.0
215422,7.0,aldiwan,0.0,1.0
227440,7.0,aldiwan,4.0,1.0
233149,7.0,aldiwan,9.0,1.0
234982,7.0,aldiwan,10.0,1.0
235803,7.0,aldiwan,5.0,1.0
241164,7.0,aldiwan,7.0,1.0
215423,7.0,alforno,0.0,1.0
227441,7.0,alforno,4.0,1.0
234108,7.0,alforno,11.0,1.0
215426,7.0,albaraka,0.0,1.0
221296,7.0,albaraka,2.0,1.0
223866,7.0,albaraka,3.0,1.0
235801,7.0,albaraka,5.0,1.0
239581,7.0,albaraka,6.0,1.0
241162,7.0,albaraka,7.0,1.0
242554,7.0,albaraka,1.0,1.0
215427,7.0,alcala,0.0,1.0
221300,7.0,alcala,2.0,1.0
233150,7.0,alcala,9.0,1.0
234110,7.0,alcala,11.0,1.0
234983,7.0,alcala,10.0,1.0
235806,7.0,alcala,5.0,1.0
239585,7.0,alcala,6.0,1.0
241166,7.0,alcala,7.0,1.0
242555,7.0,alcala,1.0,1.0
215428,7.0,aleo,0.0,1.0
221302,7.0,aleo,2.0,1.0
227457,7.0,aleo,4.0,1.0
233151,7.0,aleo,9.0,1.0
234984,7.0,aleo,10.0,1.0
215430,7.0,alexandra,0.0,1.0
221303,7.0,alexandra,2.0,1.0
223869,7.0,alexandra,3.0,1.0
235807,7.0,alexandra,5.0,1.0
238563,7.0,alexandra,8.0,1.0
239587,7.0,alexandra,6.0,1.0
241167,7.0,alexandra,7.0,1.0
242556,7.0,alexandra,1.0,1.0
215431,7.0,alfama,0.0,1.0
221304,7.0,alfama,2.0,1.0
223870,7.0,alfama,3.0,1.0
234113,7.0,alfama,11.0,1.0
235808,7.0,alfama,5.0,1.0
238564,7.0,alfama,8.0,1.0
239588,7.0,alfama,6.0,1.0
241168,7.0,alfama,7.0,1.0
242557,7.0,alfama,1.0,1.0
215432,7.0,alfanoose,0.0,1.0
221305,7.0,alfanoose,2.0,1.0
235809,7.0,alfanoose,5.0,1.0
242558,7.0,alfanoose,1.0,1.0
215433,7.0,alfredosofrome,0.0,1.0
239589,7.0,alfredosofrome,6.0,1.0
241169,7.0,alfredosofrome,7.0,1.0
215435,7.0,alias,0.0,1.0
223873,7.0,alias,3.0,1.0
235813,7.0,alias,5.0,1.0
238567,7.0,alias,8.0,1.0
239591,7.0,alias,6.0,1.0
241171,7.0,alias,7.0,1.0
242563,7.0,alias,1.0,1.0
215436,7.0,alicesteacup,0.0,1.0
223875,7.0,alicesteacup,3.0,1.0
227470,7.0,alicesteacup,4.0,1.0
233154,7.0,alicesteacup,9.0,1.0
235815,7.0,alicesteacup,5.0,1.0
238568,7.0,alicesteacup,8.0,1.0
241173,7.0,alicesteacup,7.0,1.0
242565,7.0,alicesteacup,1.0,1.0
215437,7.0,alicesteacupchapterii,0.0,1.0
227471,7.0,alicesteacupchapterii,4.0,1.0
235816,7.0,alicesteacupchapterii,5.0,1.0
215439,7.0,alidoro,0.0,1.0
221309,7.0,alidoro,2.0,1.0
241174,7.0,alidoro,7.0,1.0
215440,7.0,allaboutfood,0.0,1.0
242566,7.0,allaboutfood,1.0,1.0
215441,7.0,allamericandeli,0.0,1.0
227474,7.0,allamericandeli,4.0,1.0
215442,7.0,allegretti,0.0,1.0
221311,7.0,allegretti,2.0,1.0
233155,7.0,allegretti,9.0,1.0
234115,7.0,allegretti,11.0,1.0
234987,7.0,allegretti,10.0,1.0
235817,7.0,allegretti,5.0,1.0
238569,7.0,allegretti,8.0,1.0
241175,7.0,allegretti,7.0,1.0
215443,7.0,allendelancey,0.0,1.0
221312,7.0,allendelancey,2.0,1.0
233156,7.0,allendelancey,9.0,1.0
234988,7.0,allendelancey,10.0,1.0
235818,7.0,allendelancey,5.0,1.0
238570,7.0,allendelancey,8.0,1.0
242568,7.0,allendelancey,1.0,1.0
215444,7.0,alloro,0.0,1.0
221313,7.0,alloro,2.0,1.0
234118,7.0,alloro,11.0,1.0
234989,7.0,alloro,10.0,1.0
235819,7.0,alloro,5.0,1.0
239593,7.0,alloro,6.0,1.0
242570,7.0,alloro,1.0,1.0
215445,7.0,almond,0.0,1.0
233158,7.0,almond,9.0,1.0
234990,7.0,almond,10.0,1.0
235821,7.0,almond,5.0,1.0
238571,7.0,almond,8.0,1.0
215446,7.0,aloe,0.0,1.0
221314,7.0,aloe,2.0,1.0
241177,7.0,aloe,7.0,1.0
242574,7.0,aloe,1.0,1.0
215447,7.0,alonsossteakhouse,0.0,1.0
221315,7.0,alonsossteakhouse,2.0,1.0
227490,7.0,alonsossteakhouse,4.0,1.0
234119,7.0,alonsossteakhouse,11.0,1.0
235823,7.0,alonsossteakhouse,5.0,1.0
238572,7.0,alonsossteakhouse,8.0,1.0
239595,7.0,alonsossteakhouse,6.0,1.0
20264,0.0,alouette,8.0,0.0
215448,7.0,alouette,0.0,1.0
221316,7.0,alouette,2.0,1.0
223876,7.0,alouette,3.0,1.0
227494,7.0,alouette,4.0,1.0
235824,7.0,alouette,5.0,1.0
239596,7.0,alouette,6.0,1.0
242575,7.0,alouette,1.0,1.0
215451,7.0,alta,0.0,1.0
221317,7.0,alta,2.0,1.0
223877,7.0,alta,3.0,1.0
235826,7.0,alta,5.0,1.0
238573,7.0,alta,8.0,1.0
239597,7.0,alta,6.0,1.0
242577,7.0,alta,1.0,1.0
215452,7.0,alto,0.0,1.0
221318,7.0,alto,2.0,1.0
223878,7.0,alto,3.0,1.0
233159,7.0,alto,9.0,1.0
234991,7.0,alto,10.0,1.0
235827,7.0,alto,5.0,1.0
238574,7.0,alto,8.0,1.0
239599,7.0,alto,6.0,1.0
241178,7.0,alto,7.0,1.0
242578,7.0,alto,1.0,1.0
215453,7.0,ama,0.0,1.0
221319,7.0,ama,2.0,1.0
223879,7.0,ama,3.0,1.0
233160,7.0,ama,9.0,1.0
234122,7.0,ama,11.0,1.0
234992,7.0,ama,10.0,1.0
235828,7.0,ama,5.0,1.0
239600,7.0,ama,6.0,1.0
242580,7.0,ama,1.0,1.0
115077,3.0,amalia,8.0,0.0
215457,7.0,amalia,0.0,1.0
221320,7.0,amalia,2.0,1.0
233161,7.0,amalia,9.0,1.0
234123,7.0,amalia,11.0,1.0
234993,7.0,amalia,10.0,1.0
239601,7.0,amalia,6.0,1.0
215458,7.0,amaranth,0.0,1.0
221321,7.0,amaranth,2.0,1.0
223881,7.0,amaranth,3.0,1.0
235830,7.0,amaranth,5.0,1.0
238575,7.0,amaranth,8.0,1.0
239602,7.0,amaranth,6.0,1.0
215459,7.0,amarokbargrill,0.0,1.0
227346,7.0,amarokbargrill,4.0,1.0
241179,7.0,amarokbargrill,7.0,1.0
215460,7.0,amarone,0.0,1.0
223882,7.0,amarone,3.0,1.0
241180,7.0,amarone,7.0,1.0
242585,7.0,amarone,1.0,1.0
215461,7.0,amaya,0.0,1.0
241181,7.0,amaya,7.0,1.0
242582,7.0,amaya,1.0,1.0
215464,7.0,ambassadorgrilllounge,0.0,1.0
241183,7.0,ambassadorgrilllounge,7.0,1.0
242587,7.0,ambassadorgrilllounge,1.0,1.0
215467,7.0,amber,0.0,1.0
221325,7.0,amber,2.0,1.0
234125,7.0,amber,11.0,1.0
235832,7.0,amber,5.0,1.0
238578,7.0,amber,8.0,1.0
239604,7.0,amber,6.0,1.0
241185,7.0,amber,7.0,1.0
215469,7.0,ambrosia,0.0,1.0
241186,7.0,ambrosia,7.0,1.0
242589,7.0,ambrosia,1.0,1.0
215472,7.0,americangirlplace,0.0,1.0
241188,7.0,americangirlplace,7.0,1.0
215473,7.0,americanadeli,0.0,1.0
242596,7.0,americanadeli,1.0,1.0
215477,7.0,amirsfalafel,0.0,1.0
221328,7.0,amirsfalafel,2.0,1.0
223886,7.0,amirsfalafel,3.0,1.0
227534,7.0,amirsfalafel,4.0,1.0
215478,7.0,amityrestaurant,0.0,1.0
223887,7.0,amityrestaurant,3.0,1.0
20272,0.0,amma,8.0,0.0
215479,7.0,amma,0.0,1.0
221329,7.0,amma,2.0,1.0
223888,7.0,amma,3.0,1.0
233166,7.0,amma,9.0,1.0
234129,7.0,amma,11.0,1.0
234997,7.0,amma,10.0,1.0
235834,7.0,amma,5.0,1.0
239605,7.0,amma,6.0,1.0
20273,0.0,ammosestiatorio,8.0,0.0
215480,7.0,ammosestiatorio,0.0,1.0
221330,7.0,ammosestiatorio,2.0,1.0
233167,7.0,ammosestiatorio,9.0,1.0
234130,7.0,ammosestiatorio,11.0,1.0
234998,7.0,ammosestiatorio,10.0,1.0
239607,7.0,ammosestiatorio,6.0,1.0
215481,7.0,amorcubano,0.0,1.0
233168,7.0,amorcubano,9.0,1.0
234131,7.0,amorcubano,11.0,1.0
234999,7.0,amorcubano,10.0,1.0
235836,7.0,amorcubano,5.0,1.0
242602,7.0,amorcubano,1.0,1.0
215483,7.0,amsterdamrestaurant,0.0,1.0
223889,7.0,amsterdamrestaurant,3.0,1.0
227545,7.0,amsterdamrestaurant,4.0,1.0
215484,7.0,amyruths,0.0,1.0
223890,7.0,amyruths,3.0,1.0
235838,7.0,amyruths,5.0,1.0
238579,7.0,amyruths,8.0,1.0
242605,7.0,amyruths,1.0,1.0
215487,7.0,amysbread,0.0,1.0
223892,7.0,amysbread,3.0,1.0
235841,7.0,amysbread,5.0,1.0
238580,7.0,amysbread,8.0,1.0
239611,7.0,amysbread,6.0,1.0
242608,7.0,amysbread,1.0,1.0
215496,7.0,andrewscoffeeshop,0.0,1.0
223899,7.0,andrewscoffeeshop,3.0,1.0
227567,7.0,andrewscoffeeshop,4.0,1.0
215499,7.0,andysdeli,0.0,1.0
227572,7.0,andysdeli,4.0,1.0
215500,7.0,anesiscafe,0.0,1.0
227574,7.0,anesiscafe,4.0,1.0
215501,7.0,angelascoffeeshop,0.0,1.0
227576,7.0,angelascoffeeshop,4.0,1.0
134879,4.0,angelicakitchen,4.0,0.0
215503,7.0,angelicakitchen,0.0,1.0
221336,7.0,angelicakitchen,2.0,1.0
223900,7.0,angelicakitchen,3.0,1.0
235844,7.0,angelicakitchen,5.0,1.0
238581,7.0,angelicakitchen,8.0,1.0
239613,7.0,angelicakitchen,6.0,1.0
241190,7.0,angelicakitchen,7.0,1.0
242609,7.0,angelicakitchen,1.0,1.0
215504,7.0,angelinacafe,0.0,1.0
227579,7.0,angelinacafe,4.0,1.0
242611,7.0,angelinacafe,1.0,1.0
215505,7.0,angeloandmaxies,0.0,1.0
241191,7.0,angeloandmaxies,7.0,1.0
215508,7.0,angelospizza,0.0,1.0
242613,7.0,angelospizza,1.0,1.0
215510,7.0,angononthesixth,0.0,1.0
221342,7.0,angononthesixth,2.0,1.0
223905,7.0,angononthesixth,3.0,1.0
227591,7.0,angononthesixth,4.0,1.0
238584,7.0,angononthesixth,8.0,1.0
241192,7.0,angononthesixth,7.0,1.0
242617,7.0,angononthesixth,1.0,1.0
215511,7.0,angusmcindoe,0.0,1.0
221343,7.0,angusmcindoe,2.0,1.0
223906,7.0,angusmcindoe,3.0,1.0
235849,7.0,angusmcindoe,5.0,1.0
239617,7.0,angusmcindoe,6.0,1.0
241193,7.0,angusmcindoe,7.0,1.0
242618,7.0,angusmcindoe,1.0,1.0
215513,7.0,annas,0.0,1.0
241195,7.0,annas,7.0,1.0
215515,7.0,anniemoores,0.0,1.0
242624,7.0,anniemoores,1.0,1.0
215516,7.0,annisa,0.0,1.0
221344,7.0,annisa,2.0,1.0
223909,7.0,annisa,3.0,1.0
227605,7.0,annisa,4.0,1.0
233170,7.0,annisa,9.0,1.0
235001,7.0,annisa,10.0,1.0
235852,7.0,annisa,5.0,1.0
238585,7.0,annisa,8.0,1.0
239618,7.0,annisa,6.0,1.0
241196,7.0,annisa,7.0,1.0
242626,7.0,annisa,1.0,1.0
215518,7.0,anthos,0.0,1.0
221345,7.0,anthos,2.0,1.0
223910,7.0,anthos,3.0,1.0
233171,7.0,anthos,9.0,1.0
235002,7.0,anthos,10.0,1.0
235853,7.0,anthos,5.0,1.0
238586,7.0,anthos,8.0,1.0
239620,7.0,anthos,6.0,1.0
241197,7.0,anthos,7.0,1.0
242627,7.0,anthos,1.0,1.0
215520,7.0,anticavenezia,0.0,1.0
227610,7.0,anticavenezia,4.0,1.0
235855,7.0,anticavenezia,5.0,1.0
239621,7.0,anticavenezia,6.0,1.0
242632,7.0,anticavenezia,1.0,1.0
215522,7.0,antiquecafe,0.0,1.0
227611,7.0,antiquecafe,4.0,1.0
215523,7.0,antiquegarage,0.0,1.0
221347,7.0,antiquegarage,2.0,1.0
235856,7.0,antiquegarage,5.0,1.0
239622,7.0,antiquegarage,6.0,1.0
242634,7.0,antiquegarage,1.0,1.0
215524,7.0,antonucci,0.0,1.0
221348,7.0,antonucci,2.0,1.0
235857,7.0,antonucci,5.0,1.0
239623,7.0,antonucci,6.0,1.0
242635,7.0,antonucci,1.0,1.0
18659,0.0,anytimecafe,11.0,0.0
215526,7.0,anytimecafe,0.0,1.0
227615,7.0,anytimecafe,4.0,1.0
215527,7.0,anywaycafe,0.0,1.0
227617,7.0,anywaycafe,4.0,1.0
235858,7.0,anywaycafe,5.0,1.0
241198,7.0,anywaycafe,7.0,1.0
242636,7.0,anywaycafe,1.0,1.0
20244,0.0,aoc,8.0,0.0
215528,7.0,aoc,0.0,1.0
227353,7.0,aoc,4.0,1.0
233138,7.0,aoc,9.0,1.0
235772,7.0,aoc,5.0,1.0
239564,7.0,aoc,6.0,1.0
241131,7.0,aoc,7.0,1.0
242503,7.0,aoc,1.0,1.0
215529,7.0,aoki,0.0,1.0
234139,7.0,aoki,11.0,1.0
242637,7.0,aoki,1.0,1.0
215530,7.0,aperitivo,0.0,1.0
221349,7.0,aperitivo,2.0,1.0
235859,7.0,aperitivo,5.0,1.0
215531,7.0,apiary,0.0,1.0
221350,7.0,apiary,2.0,1.0
233172,7.0,apiary,9.0,1.0
234140,7.0,apiary,11.0,1.0
235004,7.0,apiary,10.0,1.0
235860,7.0,apiary,5.0,1.0
238587,7.0,apiary,8.0,1.0
239624,7.0,apiary,6.0,1.0
241199,7.0,apiary,7.0,1.0
215532,7.0,apizz,0.0,1.0
223913,7.0,apizz,3.0,1.0
233173,7.0,apizz,9.0,1.0
234141,7.0,apizz,11.0,1.0
235005,7.0,apizz,10.0,1.0
235861,7.0,apizz,5.0,1.0
238588,7.0,apizz,8.0,1.0
239625,7.0,apizz,6.0,1.0
241200,7.0,apizz,7.0,1.0
242639,7.0,apizz,1.0,1.0
215534,7.0,apollorestaurant,0.0,1.0
223914,7.0,apollorestaurant,3.0,1.0
227622,7.0,apollorestaurant,4.0,1.0
215535,7.0,apolorestaurant,0.0,1.0
223915,7.0,apolorestaurant,3.0,1.0
227623,7.0,apolorestaurant,4.0,1.0
215538,7.0,applebaums,0.0,1.0
242641,7.0,applebaums,1.0,1.0
215541,7.0,applebees,0.0,1.0
227631,7.0,applebees,4.0,1.0
215542,7.0,applejackdiner,0.0,1.0
223919,7.0,applejackdiner,3.0,1.0
215543,7.0,aqkafe,0.0,1.0
239628,7.0,aqkafe,6.0,1.0
215545,7.0,aquagrill,0.0,1.0
221356,7.0,aquagrill,2.0,1.0
223920,7.0,aquagrill,3.0,1.0
235864,7.0,aquagrill,5.0,1.0
238590,7.0,aquagrill,8.0,1.0
239629,7.0,aquagrill,6.0,1.0
241202,7.0,aquagrill,7.0,1.0
242643,7.0,aquagrill,1.0,1.0
215546,7.0,aquamarine,0.0,1.0
221357,7.0,aquamarine,2.0,1.0
242644,7.0,aquamarine,1.0,1.0
215547,7.0,aquavit,0.0,1.0
221358,7.0,aquavit,2.0,1.0
223921,7.0,aquavit,3.0,1.0
234143,7.0,aquavit,11.0,1.0
235865,7.0,aquavit,5.0,1.0
238591,7.0,aquavit,8.0,1.0
239630,7.0,aquavit,6.0,1.0
241203,7.0,aquavit,7.0,1.0
242645,7.0,aquavit,1.0,1.0
215548,7.0,aquavitcafe,0.0,1.0
233175,7.0,aquavitcafe,9.0,1.0
235006,7.0,aquavitcafe,10.0,1.0
239631,7.0,aquavitcafe,6.0,1.0
215549,7.0,ara,0.0,1.0
227638,7.0,ara,4.0,1.0
215550,7.0,arabelle,0.0,1.0
223922,7.0,arabelle,3.0,1.0
227639,7.0,arabelle,4.0,1.0
235866,7.0,arabelle,5.0,1.0
239632,7.0,arabelle,6.0,1.0
242646,7.0,arabelle,1.0,1.0
215554,7.0,arium,0.0,1.0
221361,7.0,arium,2.0,1.0
235871,7.0,arium,5.0,1.0
215556,7.0,ariyoshi,0.0,1.0
221362,7.0,ariyoshi,2.0,1.0
235872,7.0,ariyoshi,5.0,1.0
239635,7.0,ariyoshi,6.0,1.0
215558,7.0,arnoristorante,0.0,1.0
221363,7.0,arnoristorante,2.0,1.0
241205,7.0,arnoristorante,7.0,1.0
242650,7.0,arnoristorante,1.0,1.0
215559,7.0,aroma,0.0,1.0
221364,7.0,aroma,2.0,1.0
227668,7.0,aroma,4.0,1.0
238593,7.0,aroma,8.0,1.0
215561,7.0,aromaespressobar,0.0,1.0
235876,7.0,aromaespressobar,5.0,1.0
215564,7.0,aroundtheclock,0.0,1.0
242652,7.0,aroundtheclock,1.0,1.0
20289,0.0,arqua,8.0,0.0
215565,7.0,arqua,0.0,1.0
221365,7.0,arqua,2.0,1.0
223927,7.0,arqua,3.0,1.0
235878,7.0,arqua,5.0,1.0
241206,7.0,arqua,7.0,1.0
242653,7.0,arqua,1.0,1.0
134979,4.0,arribaarriba,4.0,0.0
215567,7.0,arribaarriba,0.0,1.0
221366,7.0,arribaarriba,2.0,1.0
223928,7.0,arribaarriba,3.0,1.0
235879,7.0,arribaarriba,5.0,1.0
238594,7.0,arribaarriba,8.0,1.0
215568,7.0,artbar,0.0,1.0
227681,7.0,artbar,4.0,1.0
215570,7.0,artecafe,0.0,1.0
223932,7.0,artecafe,3.0,1.0
227685,7.0,artecafe,4.0,1.0
233179,7.0,artecafe,9.0,1.0
234148,7.0,artecafe,11.0,1.0
235011,7.0,artecafe,10.0,1.0
238595,7.0,artecafe,8.0,1.0
239639,7.0,artecafe,6.0,1.0
215572,7.0,artepasta,0.0,1.0
221369,7.0,artepasta,2.0,1.0
223933,7.0,artepasta,3.0,1.0
227687,7.0,artepasta,4.0,1.0
233180,7.0,artepasta,9.0,1.0
242656,7.0,artepasta,1.0,1.0
215574,7.0,artiesdelicatessen,0.0,1.0
221371,7.0,artiesdelicatessen,2.0,1.0
235883,7.0,artiesdelicatessen,5.0,1.0
239641,7.0,artiesdelicatessen,6.0,1.0
215575,7.0,artisanal,0.0,1.0
221372,7.0,artisanal,2.0,1.0
223935,7.0,artisanal,3.0,1.0
233181,7.0,artisanal,9.0,1.0
234149,7.0,artisanal,11.0,1.0
235012,7.0,artisanal,10.0,1.0
235884,7.0,artisanal,5.0,1.0
238598,7.0,artisanal,8.0,1.0
241209,7.0,artisanal,7.0,1.0
242657,7.0,artisanal,1.0,1.0
215577,7.0,arturos,0.0,1.0
221373,7.0,arturos,2.0,1.0
223936,7.0,arturos,3.0,1.0
227693,7.0,arturos,4.0,1.0
215578,7.0,arturospizza,0.0,1.0
227694,7.0,arturospizza,4.0,1.0
241210,7.0,arturospizza,7.0,1.0
215581,7.0,ashkara,0.0,1.0
221374,7.0,ashkara,2.0,1.0
